day,category,count
94,Content Quality Issues,0
94,User Experience Issues,0
94,Support & Service Issues,0
94,Localization Issues,0
95,Coins Related Issues,1
95,Content Quality Issues,1
95,Ads Related Issues,0
95,Content Discovery Issues,0
95,Listening Related Issues,0
95,User Experience Issues,0
95,Support & Service Issues,0
95,Localization Issues,0
96,Content Quality Issues,1
96,User Experience Issues,1
96,Ads Related Issues,0
96,Coins Related Issues,0
96,Content Discovery Issues,0
96,Listening Related Issues,0
96,Support & Service Issues,0
96,Localization Issues,0
98,Content Discovery Issues,1
98,Listening Related Issues,1
98,Ads Related Issues,0
98,Coins Related Issues,0
98,Content Quality Issues,0
98,User Experience Issues,0
98,Support & Service Issues,0
98,Localization Issues,0
99,Coins Related Issues,2
99,Ads Related Issues,0
99,Content Discovery Issues,0
99,Listening Related Issues,0
99,Content Quality Issues,0
99,User Experience Issues,0
99,Support & Service Issues,0
99,Localization Issues,0
100,Coins Related Issues,1
100,Ads Related Issues,0
100,Content Discovery Issues,0
100,Listening Related Issues,0
100,Content Quality Issues,0
100,User Experience Issues,0
100,Support & Service Issues,0
100,Localization Issues,0
103,Listening Related Issues,1
103,Support & Service Issues,1
103,Ads Related Issues,0
103,Coins Related Issues,0
103,Content Discovery Issues,0
103,Content Quality Issues,0
103,User Experience Issues,0
103,Localization Issues,0
104,Coins Related Issues,1
104,Listening Related Issues,1
104,Ads Related Issues,0
104,Content Discovery Issues,0
104,Content Quality Issues,0
104,User Experience Issues,0
104,Support & Service Issues,0
104,Localization Issues,0
107,User Experience Issues,1
107,Ads Related Issues,0
107,Coins Related Issues,0
107,Content Discovery Issues,0
107,Listening Related Issues,0
107,Content Quality Issues,0
107,Support & Service Issues,0
107,Localization Issues,0
108,Content Quality Issues,1
108,User Experience Issues,1
108,Ads Related Issues,0
108,Coins Related Issues,0
108,Content Discovery Issues,0
108,Listening Related Issues,0
108,Support & Service Issues,0
108,Localization Issues,0
109,Content Quality Issues,1
109,Ads Related Issues,0
109,Coins Related Issues,0
109,Content Discovery Issues,0
109,Listening Related Issues,0
109,User Experience Issues,0
109,Support & Service Issues,0
109,Localization Issues,0
111,Coins Related Issues,1
111,Ads Related Issues,0
111,Content Discovery Issues,0
111,Listening Related Issues,0
111,Content Quality Issues,0
111,User Experience Issues,0
111,Support & Service Issues,0
